artist_id,album_id
1NmDSEUGsqud3eGv1TboEU,5ipfVwT5ZH9A2g0WByxf8B
4whxX965DKKqYkXmk33b4E,2YT5Jdw4Fr8YV8SoT8kl8X
4AVYJdcFZH9nxlRxlEJWQo,4FDjcc5sCZEFkK0ehJldoN
3XDSnbQl8YjKtXZjweDQjy,07z7kCwoAEiaT63JJWwsJU
4YrKBkKSVeqDamzBPWVnSJ,1xNm5DtehLtl7al2WAihVa
0SUxs8Xj1u6jJA8AK9H4G1,4ZOvrMFP0H7s4Tf4Hfyojf
49uT3lIu6Jq5yQJl5Hq0bC,4MJRCVtSti0zKgH34WBdSr
0BrPKSAeplwezYR1T2DF9s,3JU7Ke4Ftaag8o2njrw8Rs
31P1IMaJH0mI1pvB9jATHB,1dFOAF3psPuysqurWU7ce4
5dmMpIyAVaH6b9FLFgWPrF,4R9DCImB7yErtkRg1UgxKu
26vAEAV08relvScS4FUsIt,2t2ggZIrqNCLcGrhrs4BAa
6YApSYnNcLPyDrVUARE0bl,6wPpi9Gv9lGtb15ptJKkZI
3zgBwOoVIZBiNd3wIrKnhS,5uOxZXXDo9oQ8QBn4SYZR8
5dEOTHpR9kZltU2SiPDuHR,6eba9guHYfZryV2vG2CjMn
4S1CqKPNWqmhEKbjnQQGLd,4uYz3UfzCMh5M5RoUSmNKJ
5P3AyjT8amUC5ZusReekBe,21KI82GvTJfvbSN3GD7ddJ
0K1BPXwAU1CTd8DNZohopA,76hiocPp20Dl8gHdW0Y20Z
1AEBcVvK0365RWUgw1YfNr,7sngSXg2qOpzJ9C4M5YzU6
4M6YdvdCPW1fvQYbLwmNWZ,7xjw7Eq2bJ18lEIlIM1aZp
3igI0aSNJI6ja6qwy4mv4e,2LrTI8TmMtjlAfGFvvMLoD
1Lqqtkuf3lzDlSJ1AGK3vg,0DTrQDDUc6Ck9xiPbqk2e8
5FnmKJQudzhF5DcDE47San,1gdXjr43hAnRhiJPBnZqAi
0GDFVbwGZVccyOPPp1uVca,5eOfEo1XqX5ICumYuxTcK6
3azoOASbeeRYOHv3ekSMRR,2SB8R2EcLcl3kxYa2UxD85
1b9HWuyab12p1N3LHQe8pb,6iZUPRB90ikYo7mA9Kss3F
3MM8mtgFzaEJsqbjZBSsHJ,4tPaSFs69fKQyjkCvlfKMq
1yAiEpHFmX1xit3mmWZmti,3Lil4uWn8pDRfLDgP7xuUF
2OT8Y69ZmFlwMCmqXNJMih,1wgMrsayb8d1fFOWmvzFB6
1rPHe9YQyCdfmYjd1kOVkB,34cHX0SIabMzBKc6xlZrMT
1NZA6DefBtQo2PgcmBtnTg,747XdfKqkymjuvap8Lm1Hv
5P0N62zqJKGB52YNwXrIKN,0vBgMqJnmThZhsbxklsOve
3gN5Rim8xSWXChjpZ3U9rq,3HYVduRZC7o2TaCvpOrkTk
5D4GjT4lAhgERNnp9B5TLo,1aDg1DzYSxyY1A6gYUqrW1
4M88y0JcR2TS56CBoRzZSo,16dlp8aWUHCZz8wNw1jSAa
0f3EsoviYnRKTkmayI3cux,6GYIy1SuhPDrugCZ5yNeQy
1Ss5ollu2X7dSIJcxr4AOI,3xu82cqh5ff9J6UNOlLUOs
15MANPIM65943bpp47am0d,4XmXbeMwxrtEYeRxSzcZcT
5I2hdsBZpNvCB71cieQSw3,488BRBUWSDaOXkV1Jctexn
1S4EXeEdXBxOp2qtPf7tRB,5eEC8sSlI8uyhfIEoYunne
3PTwDX9W0rffDF00nqHpuk,3hicIyoLjT9zzh1QS6Beil
46yLQ1EXmfFLuVZnKqReHT,39zRFswGLW5yuztIwHA34y
7jWXyzgbVBqDzi3YszuL3O,7pLXFVKHu8KPUB7AVF3nFJ
1XnKCN6e1D0IzMZbO3vMqL,3tkxWX21mhoebVKWmaUVv1
1cM707qLFUz2m11HoHYv9i,7Ay9EIO6PxHHDLqsPDkiBj
6xfHhiRfGC5ooPSzg8zMP4,2euSclKidTWCQ2j62UcY8U
5Ua3N3VDBM65i7rz26Ri7s,6uh7kHKfuujPSgpd3299Qf
4KkAtrwOlsu961qyS9mB23,6LaRyEgiJxXn7ZOC8nrson
6YzSsjldNdWUcFVvl90ZLw,3Na7wNz8laJmyCykFxII4t
6l3KLSQSC1eSFCjjW9UOwP,4L9bIqxgnUcOky6vxoZDhU
2nBS0FoA3CwK40M76u0gko,215pScV3qBjRnOJQbAwSbs
3F4VZL0xYGYRCHesepj46W,5p0Uf9J3bsdA8L726NqcNt
3EqwWCVpe5EF0jACgewTLG,6QijCRf7WRB3TWTIXr5B2y
4J9z9JHiUhX0EtJD0iLfPm,6YwiZp7EaKhqnrfUFJlQ2r
